feature,importance
issue_d_Aug-2009,0.0017775481
issue_d_Mar-2013,0.0017645418
zip_code_066xx,0.0017594461
sub_grade_B2,0.0017554931
zip_code_076xx,0.0017543689
issue_d_Feb-2014,0.0017530298
issue_d_Aug-2008,0.0017517166
zip_code_926xx,0.0017471478
issue_d_Mar-2014,0.0017389356
zip_code_385xx,0.0017379173
addr_state_NM,0.0017297192
zip_code_297xx,0.001722227
zip_code_930xx,0.0017118113
zip_code_934xx,0.0017052732
zip_code_024xx,0.001692754
issue_d_Dec-2013,0.0016900174
zip_code_960xx,0.0016896704
issue_d_Nov-2009,0.0016756392
zip_code_554xx,0.00167136
sub_grade_E2,0.0016539291
zip_code_541xx,0.0016520276
issue_d_Sep-2009,0.00164682
issue_d_May-2012,0.0016295306
issue_d_Sep-2011,0.0016191341
issue_d_Jun-2011,0.0016189736
zip_code_325xx,0.0016165532
zip_code_551xx,0.0016132926
zip_code_560xx,0.0016026427
zip_code_937xx,0.0015988421
zip_code_781xx,0.0015862957
zip_code_020xx,0.0015853959
zip_code_346xx,0.0015823072
zip_code_540xx,0.001581742
zip_code_856xx,0.001552099
zip_code_305xx,0.0015431106
sub_grade_F2,0.0015397443
zip_code_727xx,0.0015397003
issue_d_Dec-2011,0.0015377256
zip_code_140xx,0.0015230178
zip_code_026xx,0.0014915875
issue_d_Apr-2009,0.0014858445
addr_state_NE,0.001462946
zip_code_132xx,0.001455039
zip_code_563xx,0.0014500037
grade_G,0.0014498758
zip_code_456xx,0.0013945174
zip_code_641xx,0.0013612846
zip_code_700xx,0.0013515836
zip_code_112xx,0.0013382953
zip_code_347xx,0.0013019276
zip_code_722xx,0.0012982694
grade_F,0.0012947628
sub_grade_E1,0.0012919459
zip_code_286xx,0.0012882837
zip_code_618xx,0.0012192677
sub_grade_F3,0.0012154557
zip_code_910xx,0.0012101303
pub_rec_bankruptcies,0.0012074036
sub_grade_E5,0.0011826825
zip_code_657xx,0.0011712133
zip_code_841xx,0.0011527728
sub_grade_D4,0.0011245463
zip_code_014xx,0.0010262564
zip_code_761xx,0.00094021816
sub_grade_C5,0.00087786466
sub_grade_D1,0.0007979103
addr_state_IN,0.0003865005
zip_code_666xx,0.0
zip_code_677xx,0.0
zip_code_676xx,0.0
zip_code_671xx,0.0
zip_code_679xx,0.0
zip_code_668xx,0.0
zip_code_675xx,0.0
zip_code_674xx,0.0
zip_code_670xx,0.0
zip_code_664xx,0.0
zip_code_665xx,0.0
zip_code_672xx,0.0
zip_code_678xx,0.0
zip_code_669xx,0.0
zip_code_667xx,0.0
zip_code_713xx,0.0
zip_code_686xx,0.0
zip_code_718xx,0.0
zip_code_735xx,0.0
zip_code_734xx,0.0
zip_code_731xx,0.0
zip_code_730xx,0.0
zip_code_729xx,0.0
zip_code_728xx,0.0
zip_code_726xx,0.0
zip_code_725xx,0.0
zip_code_724xx,0.0
zip_code_723xx,0.0
zip_code_721xx,0.0
zip_code_720xx,0.0
zip_code_719xx,0.0
zip_code_717xx,0.0
zip_code_689xx,0.0
zip_code_716xx,0.0
zip_code_714xx,0.0
zip_code_661xx,0.0
zip_code_712xx,0.0
zip_code_711xx,0.0
zip_code_710xx,0.0
zip_code_708xx,0.0
zip_code_707xx,0.0
zip_code_706xx,0.0
addr_state_CT,0.0
zip_code_704xx,0.0
zip_code_703xx,0.0
zip_code_701xx,0.0
zip_code_662xx,0.0
zip_code_636xx,0.0
zip_code_660xx,0.0
zip_code_598xx,0.0
zip_code_592xx,0.0
zip_code_593xx,0.0
zip_code_594xx,0.0
zip_code_595xx,0.0
zip_code_596xx,0.0
zip_code_597xx,0.0
addr_state_ID,0.0
zip_code_599xx,0.0
zip_code_590xx,0.0
application_type_Individual,0.0
addr_state_HI,0.0
zip_code_602xx,0.0
zip_code_603xx,0.0
zip_code_605xx,0.0
addr_state_KY,0.0
zip_code_608xx,0.0
zip_code_591xx,0.0
zip_code_577xx,0.0
zip_code_658xx,0.0
zip_code_565xx,0.0
zip_code_556xx,0.0
zip_code_557xx,0.0
zip_code_558xx,0.0
addr_state_IA,0.0
zip_code_561xx,0.0
zip_code_562xx,0.0
zip_code_564xx,0.0
zip_code_566xx,0.0
zip_code_576xx,0.0
zip_code_567xx,0.0
zip_code_570xx,0.0
zip_code_571xx,0.0
zip_code_572xx,0.0
zip_code_573xx,0.0
zip_code_574xx,0.0
zip_code_575xx,0.0
zip_code_609xx,0.0
zip_code_610xx,0.0
zip_code_611xx,0.0
zip_code_647xx,0.0
zip_code_637xx,0.0
zip_code_638xx,0.0
zip_code_639xx,0.0
zip_code_640xx,0.0
zip_code_644xx,0.0
zip_code_645xx,0.0
zip_code_646xx,0.0
zip_code_648xx,0.0
zip_code_612xx,0.0
addr_state_ME,0.0
zip_code_651xx,0.0
zip_code_652xx,0.0
zip_code_653xx,0.0
zip_code_654xx,0.0
zip_code_655xx,0.0
zip_code_656xx,0.0
zip_code_738xx,0.0
zip_code_635xx,0.0
zip_code_634xx,0.0
zip_code_631xx,0.0
zip_code_613xx,0.0
zip_code_614xx,0.0
zip_code_615xx,0.0
zip_code_616xx,0.0
zip_code_617xx,0.0
zip_code_619xx,0.0
zip_code_620xx,0.0
zip_code_623xx,0.0
zip_code_624xx,0.0
zip_code_625xx,0.0
zip_code_626xx,0.0
zip_code_627xx,0.0
zip_code_628xx,0.0
zip_code_629xx,0.0
zip_code_630xx,0.0
zip_code_737xx,0.0
zip_code_749xx,0.0
zip_code_739xx,0.0
zip_code_846xx,0.0
zip_code_969xx,0.0
zip_code_968xx,0.0
zip_code_967xx,0.0
zip_code_853xx,0.0
zip_code_855xx,0.0
zip_code_965xx,0.0
zip_code_857xx,0.0
zip_code_859xx,0.0
zip_code_963xx,0.0
zip_code_961xx,0.0
zip_code_864xx,0.0
zip_code_865xx,0.0
zip_code_870xx,0.0
zip_code_959xx,0.0
zip_code_874xx,0.0
zip_code_875xx,0.0
zip_code_957xx,0.0
zip_code_847xx,0.0
zip_code_845xx,0.0
addr_state_MS,0.0
zip_code_971xx,0.0
zip_code_822xx,0.0
zip_code_823xx,0.0
zip_code_824xx,0.0
zip_code_825xx,0.0
zip_code_826xx,0.0
zip_code_827xx,0.0
zip_code_828xx,0.0
zip_code_829xx,0.0
zip_code_973xx,0.0
zip_code_830xx,0.0
zip_code_831xx,0.0
zip_code_836xx,0.0
zip_code_837xx,0.0
zip_code_838xx,0.0
zip_code_840xx,0.0
zip_code_843xx,0.0
zip_code_844xx,0.0
zip_code_877xx,0.0
zip_code_879xx,0.0
zip_code_880xx,0.0
zip_code_881xx,0.0
addr_state_TN,0.0
addr_state_RI,0.0
zip_code_918xx,0.0
zip_code_947xx,0.0
zip_code_919xx,0.0
zip_code_946xx,0.0
zip_code_922xx,0.0
zip_code_923xx,0.0
zip_code_924xx,0.0
zip_code_925xx,0.0
zip_code_944xx,0.0
zip_code_928xx,0.0
zip_code_931xx,0.0
zip_code_932xx,0.0
zip_code_933xx,0.0
zip_code_943xx,0.0
addr_state_OK,0.0
zip_code_948xx,0.0
zip_code_915xx,0.0
zip_code_949xx,0.0
zip_code_898xx,0.0
zip_code_882xx,0.0
zip_code_883xx,0.0
zip_code_956xx,0.0
zip_code_955xx,0.0
zip_code_893xx,0.0
zip_code_894xx,0.0
zip_code_897xx,0.0
zip_code_902xx,0.0
zip_code_914xx,0.0
zip_code_903xx,0.0
zip_code_904xx,0.0
zip_code_905xx,0.0
zip_code_953xx,0.0
zip_code_952xx,0.0
zip_code_951xx,0.0
zip_code_913xx,0.0
zip_code_821xx,0.0
zip_code_820xx,0.0
zip_code_975xx,0.0
zip_code_775xx,0.0
zip_code_758xx,0.0
zip_code_759xx,0.0
zip_code_994xx,0.0
zip_code_760xx,0.0
zip_code_762xx,0.0
zip_code_763xx,0.0
zip_code_993xx,0.0
zip_code_764xx,0.0
zip_code_765xx,0.0
zip_code_991xx,0.0
zip_code_989xx,0.0
zip_code_766xx,0.0
zip_code_988xx,0.0
zip_code_767xx,0.0
zip_code_768xx,0.0
zip_code_769xx,0.0
zip_code_985xx,0.0
zip_code_757xx,0.0
zip_code_995xx,0.0
zip_code_755xx,0.0
zip_code_744xx,0.0
addr_state_AK,0.0
zip_code_740xx,0.0
addr_state_WV,0.0
zip_code_999xx,0.0
zip_code_741xx,0.0
zip_code_743xx,0.0
zip_code_998xx,0.0
zip_code_745xx,0.0
zip_code_754xx,0.0
zip_code_997xx,0.0
zip_code_747xx,0.0
zip_code_748xx,0.0
zip_code_939xx,0.0
zip_code_996xx,0.0
zip_code_751xx,0.0
zip_code_752xx,0.0
zip_code_983xx,0.0
zip_code_776xx,0.0
zip_code_816xx,0.0
zip_code_777xx,0.0
zip_code_798xx,0.0
zip_code_799xx,0.0
zip_code_800xx,0.0
zip_code_977xx,0.0
zip_code_803xx,0.0
zip_code_804xx,0.0
zip_code_976xx,0.0
zip_code_806xx,0.0
zip_code_807xx,0.0
zip_code_808xx,0.0
zip_code_809xx,0.0
zip_code_810xx,0.0
zip_code_811xx,0.0
zip_code_812xx,0.0
zip_code_813xx,0.0
zip_code_814xx,0.0
zip_code_815xx,0.0
zip_code_978xx,0.0
zip_code_796xx,0.0
zip_code_795xx,0.0
zip_code_785xx,0.0
zip_code_778xx,0.0
zip_code_779xx,0.0
zip_code_780xx,0.0
addr_state_NH,0.0
zip_code_783xx,0.0
zip_code_784xx,0.0
zip_code_981xx,0.0
zip_code_980xx,0.0
zip_code_794xx,0.0
zip_code_979xx,0.0
zip_code_788xx,0.0
zip_code_789xx,0.0
zip_code_790xx,0.0
zip_code_791xx,0.0
zip_code_792xx,0.0
zip_code_793xx,0.0
zip_code_797xx,0.0
zip_code_383xx,0.0
zip_code_550xx,0.0
zip_code_161xx,0.0
zip_code_147xx,0.0
zip_code_151xx,0.0
zip_code_153xx,0.0
zip_code_154xx,0.0
zip_code_155xx,0.0
zip_code_156xx,0.0
zip_code_157xx,0.0
zip_code_158xx,0.0
zip_code_159xx,0.0
zip_code_160xx,0.0
zip_code_162xx,0.0
zip_code_175xx,0.0
zip_code_163xx,0.0
zip_code_164xx,0.0
zip_code_165xx,0.0
zip_code_166xx,0.0
zip_code_167xx,0.0
zip_code_168xx,0.0
zip_code_169xx,0.0
zip_code_171xx,0.0
zip_code_172xx,0.0
zip_code_173xx,0.0
zip_code_146xx,0.0
zip_code_145xx,0.0
zip_code_143xx,0.0
zip_code_142xx,0.0
zip_code_114xx,0.0
zip_code_116xx,0.0
zip_code_118xx,0.0
zip_code_119xx,0.0
zip_code_120xx,0.0
zip_code_121xx,0.0
zip_code_122xx,0.0
zip_code_123xx,0.0
zip_code_125xx,0.0
zip_code_126xx,0.0
zip_code_127xx,0.0
zip_code_128xx,0.0
zip_code_129xx,0.0
zip_code_130xx,0.0
zip_code_133xx,0.0
zip_code_134xx,0.0
zip_code_135xx,0.0
zip_code_136xx,0.0
zip_code_137xx,0.0
zip_code_138xx,0.0
zip_code_139xx,0.0
zip_code_174xx,0.0
zip_code_176xx,0.0
zip_code_110xx,0.0
zip_code_231xx,0.0
zip_code_217xx,0.0
zip_code_218xx,0.0
zip_code_219xx,0.0
zip_code_221xx,0.0
zip_code_222xx,0.0
zip_code_225xx,0.0
zip_code_226xx,0.0
zip_code_227xx,0.0
zip_code_228xx,0.0
zip_code_230xx,0.0
zip_code_232xx,0.0
zip_code_177xx,0.0
zip_code_233xx,0.0
zip_code_234xx,0.0
zip_code_235xx,0.0
zip_code_237xx,0.0
zip_code_238xx,0.0
zip_code_239xx,0.0
zip_code_240xx,0.0
zip_code_242xx,0.0
zip_code_243xx,0.0
zip_code_244xx,0.0
zip_code_216xx,0.0
zip_code_214xx,0.0
zip_code_212xx,0.0
zip_code_211xx,0.0
zip_code_178xx,0.0
zip_code_179xx,0.0
zip_code_181xx,0.0
zip_code_182xx,0.0
zip_code_183xx,0.0
zip_code_184xx,0.0
zip_code_185xx,0.0
zip_code_186xx,0.0
zip_code_187xx,0.0
zip_code_188xx,0.0
zip_code_190xx,0.0
zip_code_193xx,0.0
zip_code_195xx,0.0
zip_code_196xx,0.0
zip_code_197xx,0.0
zip_code_198xx,0.0
zip_code_199xx,0.0
zip_code_201xx,0.0
zip_code_206xx,0.0
zip_code_208xx,0.0
zip_code_209xx,0.0
zip_code_113xx,0.0
zip_code_108xx,0.0
zip_code_549xx,0.0
issue_d_Nov-2015,0.0
issue_d_Jun-2010,0.0
issue_d_Jun-2016,0.0
issue_d_Mar-2008,0.0
issue_d_Mar-2009,0.0
issue_d_Mar-2016,0.0
issue_d_May-2008,0.0
issue_d_May-2009,0.0
issue_d_May-2015,0.0
issue_d_May-2016,0.0
issue_d_Nov-2007,0.0
issue_d_Oct-2007,0.0
zip_code_023xx,0.0
issue_d_Oct-2008,0.0
issue_d_Sep-2008,0.0
purpose_educational,0.0
zip_code_010xx,0.0
zip_code_011xx,0.0
zip_code_012xx,0.0
zip_code_013xx,0.0
zip_code_015xx,0.0
zip_code_016xx,0.0
zip_code_019xx,0.0
issue_d_Jun-2008,0.0
issue_d_Jul-2014,0.0
issue_d_Jul-2007,0.0
issue_d_Jan-2016,0.0
collections_12_mths_ex_med,0.0
sub_grade_A1,0.0
sub_grade_D3,0.0
sub_grade_F4,0.0
sub_grade_G2,0.0
sub_grade_G3,0.0
sub_grade_G4,0.0
sub_grade_G5,0.0
home_ownership_NONE,0.0
issue_d_Apr-2014,0.0
issue_d_Apr-2015,0.0
issue_d_Apr-2016,0.0
issue_d_Aug-2007,0.0
issue_d_Aug-2015,0.0
issue_d_Aug-2016,0.0
issue_d_Dec-2007,0.0
issue_d_Dec-2015,0.0
issue_d_Feb-2008,0.0
issue_d_Feb-2009,0.0
issue_d_Feb-2010,0.0
issue_d_Jan-2015,0.0
zip_code_022xx,0.0
zip_code_027xx,0.0
zip_code_107xx,0.0
zip_code_085xx,0.0
zip_code_072xx,0.0
zip_code_073xx,0.0
zip_code_075xx,0.0
zip_code_077xx,0.0
zip_code_078xx,0.0
zip_code_079xx,0.0
zip_code_080xx,0.0
zip_code_081xx,0.0
zip_code_083xx,0.0
zip_code_084xx,0.0
zip_code_086xx,0.0
zip_code_029xx,0.0
zip_code_087xx,0.0
zip_code_088xx,0.0
zip_code_089xx,0.0
zip_code_094xx,0.0
zip_code_096xx,0.0
zip_code_101xx,0.0
zip_code_102xx,0.0
zip_code_103xx,0.0
zip_code_105xx,0.0
zip_code_106xx,0.0
zip_code_070xx,0.0
zip_code_069xx,0.0
zip_code_068xx,0.0
